#,DOB,Birth City,S/P,Ctry,HT,Wt,S,Draft,Round,Overall,Rk,Age,BTN Code,First Name,Last Name,End Team,Teams,OGP,Pos,GP,G,A,PTS,+/-,Sh,Miss,Blkd,Sh%,CoSH%,Dist,Wrist,Snap,Slap,TOI,TOI/G,Shifts,Sh/G,TOI/Sh,Passes,Pa/60,IGP,IAP,IPP,FOW,FOL,FO%,%Tm,HitA,HitF,BkS,MsS,GvA,TkA,HA/60,HF/60,B/60,M/60,G/60,T/60,PIM,Minor,Major,Misc,G Misc,Match,NetPen,SOS,SOG,SO%,SOGDG,1G,OTGP,OTG,OTA,GWG,ENG,PSG,PST,PS%,DIA,OPS,DPS,PS,PS/G,PS/60,OGIT,DIT,RPM,OGVT,DGVT,SGVT,GVT,GVT/G,GVT/60,Full,LTIR,SOIR,Ginj,Injury,Cap Cost,Bonuses,GVS
17,May 08 '89,Windsor,ON,CAN,75,206,L,2008,5,148,,24,MATTMARTIN,Matt,Martin,NYI,,,LW,79,8,6,14,-11,120,27,40,6.7%,4.3%,28.7,72,26,1,940.0,11.9,1329,16.8,0.71,81,5.17,6.5%,4.8%,11.3%,3,6,33.3%,0.1,98,359,42,27,15,22,6.3,22.9,2.7,1.7,1.0,1.4,90,15,10,1,0,0,-1.6,1,0,0%,0,0,23,0,0,3,0,0,0,0%,3,-0.2,0.5,0.4,0.01,0.03,16.4,18.2,-6.3,-1.1,1.4,-0.3,0,0.00,0.00,,,,3,Lower body,1000000,,-1.8
7,Mar 05 '81,Minneapolis,MN,USA,73,200,L,2000,2,62,,32,PAULMARTIN,Paul,Martin,PIT,,,D,39,3,12,15,-4,54,29,31,5.6%,2.6%,45.1,21,10,17,958.3,24.6,1018,26.1,0.94,23,1.45,6.4%,25.5%,31.9%,0,0,0.0%,0,74,30,74,29,17,12,4.6,1.9,4.6,1.8,1.1,0.8,10,5,0,0,0,0,2.9,,, ,,1,8,0,0,2,0,0,0,0%,5,0.8,2,2.8,0.07,0.18,23,20.7,-4.7,0.4,1.8,0,2.2,0.06,0.14,,,,43,"Lower body, Hand",5000000,,-6.6
4,Aug 31 '76,Havlicko Brod,,CZE,72,205,R,1999,8,228,,37,RADEKMARTINEK,Radek,Martinek,NYI,,,D,13,0,3,3,4,12,11,17,0.0%,0.0%,53.0,3,0,9,201.2,15.5,263,20.2,0.76,8,2.48,0.0%,21.4%,21.4%,0,0,0.0%,0,13,9,9,11,8,5,3.9,2.7,2.7,3.3,2.4,1.5,4,2,0,0,0,0,-1.0,,, ,,0,2,0,0,0,0,0,0,0%,3,0.1,0.8,0.8,0.06,0.24,4.8,5.4,6.4,0,1.4,0,1.3,0.10,0.39,,,,16,Back,600000,,0.2
27,Jul 26 '87,Rochester Hills,MI,USA,73,209,L,2007,4,95,,26,ALECMARTINEZ,Alec,Martinez,LAK,,,D,61,11,11,22,17,79,62,82,13.9%,4.9%,44.4,28,12,33,956.6,15.7,1331,21.8,0.72,44,2.78,13.1%,13.1%,26.2%,0,0,0.0%,0,113,96,75,62,27,5,7.1,6.0,4.7,3.9,1.7,0.3,14,7,0,0,0,0,2.8,,, ,,2,16,0,0,2,0,0,0,0%,3,2.5,3.9,6.5,0.11,0.41,21.3,19.3,11.1,4.7,4.8,0,9.5,0.16,0.60,,,,7,Elbow,1100000,,7.6
,Sep 20 '88,Bradford,ON,CAN,76,220,L,,,,Y,25,BRANDONMASHINTER,Brandon,Mashinter,NYR,,,LW,6,0,0,0,-1,3,1,1,0.0%,0.0%,23.0,2,0,0,27.4,4.6,43,7.2,0.64,0,0.00,0.0%,0.0%,0.0%,0,0,0.0%,0,1,5,1,1,1,0,2.2,10.9,2.2,2.2,2.2,0.0,10,0,2,0,0,0,-0.1,,, ,,0,0,0,0,0,0,0,0,0%,5,-0.1,0,-0.1,-0.02,-0.22,0.5,0.5,-1,-0.2,0,0,-0.3,-0.05,-0.66,,,,,,605000,,-1.4
27,Feb 19 '88,Mississauga,ON,CAN,76,223,L,2006,2,47,,25,SHAWNMATTHIAS,Shawn,Matthias,VAN,FLA,59,C,77,12,11,23,-3,127,35,38,9.4%,6.0%,26.3,73,16,14,1002.1,13.0,1418,18.4,0.71,49,2.91,10.2%,9.3%,19.5%,183,250,42.3%,9.4,91,93,29,35,15,33,5.4,5.6,1.7,2.1,0.9,2.0,26,13,0,0,0,0,-0.8,,, ,,1,16,0,0,0,0,0,0,0%,4,1.2,1,2.2,0.03,0.13,17.6,22.3,0.5,2.4,2.7,0,5,0.06,0.30,,,,1,Illness,1750000,,1.9
42,Oct 14 '92,St. Louis,MO,USA,76,209,R,2011,2,34,Y,21,SCOTTMAYFIELD,Scott,Mayfield,NYI,,,D,5,0,0,0,-3,7,1,5,0.0%,0.0%,47.0,3,0,4,86.8,17.4,119,23.8,0.73,0,0.00,0.0%,0.0%,0.0%,0,0,0.0%,0,4,7,8,1,2,2,2.8,4.8,5.5,0.7,1.4,1.4,7,1,1,0,0,0,0.4,,, ,,0,2,0,0,0,0,0,0,0%,5,-0.1,-0.1,-0.2,-0.04,-0.14,1.2,1.6,-2.6,-0.3,-0.2,0,-0.5,-0.10,-0.35,,,,,,1775000,,-3.6
4,Feb 25 '88,Edina,MN,USA,73,181,R,2006,2,63,,25,JAMIEMCBANE,Jamie,McBain,BUF,,,D,69,6,11,17,-13,98,43,83,6.1%,2.7%,46.1,39,14,35,1391.0,20.2,1612,23.4,0.86,56,2.40,9.2%,16.9%,26.2%,0,0,0.0%,0,65,34,113,43,31,12,2.8,1.5,4.9,1.9,1.3,0.5,14,7,0,0,0,0,5.5,,, ,,2,16,0,0,0,0,0,0,0%,2,0.9,3,3.9,0.06,0.17,28.2,24.5,2.4,0.6,1.2,0,1.8,0.03,0.08,,,,,,1800000,,-1.4
29,Oct 12 '93,Eau Claire,WI,USA,72,195,L,2012,2,44,Y,20,JAKEMCCABE,Jake,McCabe,BUF,,,D,7,0,1,1,-3,1,0,4,0.0%,0.0%,25.0,0,0,0,106.5,15.2,150,21.4,0.71,0,0.00,0.0%,10.0%,10.0%,0,0,0.0%,0,12,5,10,0,0,2,6.8,2.8,5.6,0.0,0.0,1.1,15,0,1,0,1,0,-0.5,,, ,,0,1,0,0,0,0,0,0,0%,3,0,0.1,0,0.00,0.00,1.8,2,-1.5,-0.1,-0.1,0,-0.2,-0.03,-0.11,,,,,,925000,,-1.8
43,Aug 09 '86,Boston,MA,USA,73,195,L,2006,7,202,,27,JOHNMCCARTHY,John,McCarthy,SJS,,,C/LW,36,1,1,2,-11,49,8,20,2.0%,1.3%,30.6,32,2,2,398.1,11.1,644,17.9,0.62,33,5.03,1.4%,1.4%,2.7%,71,62,53.4%,5.8,39,25,17,8,9,9,5.9,3.8,2.6,1.2,1.4,1.4,4,2,0,0,0,0,0.3,,, ,,1,13,0,0,0,0,0,0,0%,3,-0.8,0,-0.8,-0.02,-0.12,6.2,7.9,-13.4,-1.9,0.2,0,-1.7,-0.05,-0.26,,,,,,612500,,-2.8
11,Mar 02 '83,Kingston,ON,CAN,73,205,L,2001,2,57,,30,JAYMCCLEMENT,Jay,McClement,TOR,,,C,81,4,6,10,-8,67,24,45,6.0%,2.9%,29.2,29,13,5,1195.7,14.8,1696,20.9,0.71,65,3.24,2.3%,3.4%,5.7%,676,584,53.7%,23.9,140,141,57,24,24,36,7.0,7.1,2.9,1.2,1.2,1.8,32,16,0,0,0,0,-7.3,,, ,,1,22,0,0,1,1,0,0,0%,4,-1.8,0.8,-0.9,-0.01,-0.05,15.2,26.5,-11.2,-2.7,1.2,0,-1.5,-0.02,-0.08,,,,,,1500000,,-4.1
8,Apr 18 '83,London,ON,CAN,74,224,R,2001,5,144,,30,CODYMCCORMICK,Cody,McCormick,MIN,BUF,29,C/RW,43,2,5,7,-6,26,9,11,7.7%,4.3%,37.1,14,5,2,383.1,8.9,568,13.2,0.67,30,4.65,3.3%,8.2%,11.5%,89,109,44.9%,7.6,14,76,21,9,4,7,2.2,11.9,3.3,1.4,0.6,1.1,52,6,8,0,0,0,1.3,,, ,,0,11,0,0,0,0,0,0,0%,4,-0.1,0.3,0.2,0.00,0.03,8.3,9.4,-2.5,-1,0.8,0,-0.2,0.00,-0.03,,,,33,"Lower body, Upper body, Facial",1200000,,-2.3
27,Jun 13 '89,St. Paul,MN,USA,73,213,L,2007,1,12,,24,RYANMCDONAGH,Ryan,McDonagh,NYR,,,D,77,14,29,43,11,177,50,88,7.9%,4.4%,46.8,89,20,57,1910.5,24.8,2304,29.9,0.83,100,3.15,13.1%,27.1%,40.2%,0,0,0.0%,0,107,88,131,50,66,51,3.4,2.8,4.1,1.6,2.1,1.6,36,18,0,0,0,0,9.9,,, ,,2,10,1,0,4,2,0,0,0%,7,4.1,5.7,9.8,0.13,0.31,42.7,44.9,3.3,7.8,7.1,0,15,0.19,0.47,,,,5,Shoulder,4700000,,6.7
13,Sep 30 '84,Wethersfield,CT,USA,74,214,R,2003,2,51,,29,COLINMCDONALD,Colin,McDonald,NYI,,,RW,70,8,10,18,-22,96,36,30,8.3%,4.9%,29.1,49,19,11,867.2,12.4,1184,16.9,0.73,85,5.91,7.0%,8.8%,15.8%,7,8,46.7%,0.3,86,217,15,36,13,17,6.0,15.0,1.0,2.5,0.9,1.2,34,12,2,0,0,0,11.5,1,1,100%,0,1,20,0,0,0,0,0,0,0%,3,0.5,0,0.5,0.01,0.03,18.5,18,-14.4,-0.7,0.2,0.6,0.2,0.00,0.01,,,,5,Hip,637500,,-0.9
11,Aug 05 '88,Fergus,ON,CAN,73,210,L,2006,2,36,,25,JAMIEMCGINN,Jamie,McGinn,COL,,,LW,79,19,19,38,-3,167,86,58,11.4%,6.1%,28.1,103,16,9,1245.8,15.8,1600,20.3,0.78,104,5.01,12.5%,12.5%,25.0%,1,1,50.0%,0,78,140,35,86,17,36,3.8,6.7,1.7,4.1,0.8,1.7,30,10,2,0,0,0,-0.7,,, ,,3,22,1,0,3,0,0,0,0%,5,2.8,0.9,3.8,0.05,0.18,27.4,24.9,-9.2,3.8,1,0,4.8,0.06,0.23,,,,3,Knee,1750000,,1.7
15,Jul 29 '90,Fergus,ON,CAN,74,205,L,2010,4,119,Y,23,TYEMCGINN,Tye,McGinn,PHI,,,LW,18,4,1,5,-1,16,8,8,25.0%,12.5%,26.8,5,3,1,201.2,11.2,275,15.3,0.73,8,2.42,19.0%,4.8%,23.8%,0,0,0.0%,0,35,26,7,8,6,4,10.4,7.8,2.1,2.4,1.8,1.2,4,2,0,0,0,0,-2.3,,, ,,1,5,0,0,0,0,0,0,0%,4,0.4,0.2,0.6,0.03,0.18,4.9,4.4,-0.7,0.2,0.2,0,0.4,0.02,0.12,,,,,,775000,,-1.0
16,Sep 02 '81,Hamilton,ON,CAN,76,235,R,1999,4,104,,32,BRIANMCGRATTAN,Brian,McGrattan,CGY,,,RW,76,4,4,8,-4,79,24,23,5.1%,3.2%,40.0,40,9,20,510.5,6.7,811,10.7,0.63,42,4.91,3.3%,3.3%,6.5%,2,1,66.7%,0,33,82,23,24,10,14,3.9,9.6,2.7,2.8,1.2,1.6,100,5,12,2,1,0,2.1,,, ,,2,19,0,0,0,0,0,0,0%,3,-0.1,0.5,0.4,0.01,0.05,10.2,10.1,-0.7,-1.2,1.2,0,-0.1,0.00,-0.01,,,,4,"Lower body, Upper body, Knee",750000,,-1.4
42,Apr 20 '92,Winnipeg,MB,CAN,77,230,R,2010,1,10,Y,21,DYLANMCILRATH,Dylan,McIlrath,NYR,,,D,2,0,0,0,-1,0,0,2,0.0%,0.0%,0.0,0,0,0,14.1,7.0,24,12.0,0.59,0,0.00,0.0%,0.0%,0.0%,0,0,0.0%,0,1,2,1,0,0,0,4.3,8.5,4.3,0.0,0.0,0.0,7,1,1,0,0,0,0.1,,, ,,0,1,0,0,0,0,0,0,0%,4,0,-0.1,-0.1,-0.05,-0.43,0.3,0.4,-1,-0.1,-0.1,0,-0.2,-0.10,-0.85,,,,,,1295000,,-2.5
39,Jun 17 '92,St. Thomas,ON,CAN,72,191,L,2010,3,62,Y,21,GREGMCKEGG,Greg,McKegg,TOR,,,C,1,0,0,0,0,1,0,0,0.0%,0.0%,5.0,0,1,0,3.7,3.7,6,6.0,0.62,0,0.00,0.0%,0.0%,0.0%,1,5,16.7%,9.8,0,2,0,0,0,0,0.0,32.3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,,, ,,0,0,0,0,0,0,0,0,0%,4,0,0,0,0.00,0.00,0.1,0.1,0,0,0,0,0,0.00,0.00,,,,,,870000,,-1.5
38,Oct 29 '87,Winnipeg,MB,CAN,77,230,L,2007,7,203,,26,FRAZERMCLAREN,Frazer,McLaren,TOR,,,LW,27,0,0,0,-2,4,2,2,0.0%,0.0%,28.3,3,0,0,108.2,4.0,189,7.0,0.57,0,0.00,0.0%,0.0%,0.0%,1,0,100.0%,0,20,24,3,2,3,0,11.1,13.3,1.7,1.1,1.7,0.0,77,5,9,2,0,0,-4.2,,, ,,0,6,0,0,0,0,0,0,0%,1,-0.3,0,-0.3,-0.01,-0.17,2.2,2.1,-1.8,-1,0,0,-1,-0.04,-0.55,,,,18,"Finger, Ankle",700000,,-2.2
55,Jun 26 '84,Binscarth,MB,CAN,74,210,L,,,,,29,CODYMCLEOD,Cody,McLeod,COL,,,LW,71,5,8,13,2,76,13,21,6.6%,4.5%,36.7,45,13,2,733.3,10.3,1075,15.1,0.68,56,4.60,3.5%,5.6%,9.2%,2,8,20.0%,0.2,70,148,33,13,1,10,5.7,12.1,2.7,1.1,0.1,0.8,122,11,14,1,2,0,-6.4,,, ,,0,20,0,0,0,0,0,0,0%,3,-0.1,0.7,0.6,0.01,0.05,11,14.3,-0.9,0.3,1.6,0,1.9,0.03,0.16,,,,2,Ankle,1150000,,-0.1
38,Mar 22 '90,Richmond,BC,CAN,71,190,L,2008,3,85,,23,BRANDONMCMILLAN,Brandon,McMillan,PHX,,,C/LW,22,2,4,6,0,35,11,6,5.7%,3.8%,25.1,22,5,0,276.9,12.6,414,18.8,0.67,14,3.03,9.5%,19.0%,28.6%,7,7,50.0%,1,46,50,7,11,2,6,10.0,10.8,1.5,2.4,0.4,1.3,4,2,0,0,0,0,5.5,,, ,,1,7,0,0,0,0,0,0,0%,3,0.1,0.3,0.4,0.02,0.09,5,5.5,0.4,0.1,0.7,0,0.8,0.04,0.17,,,,,,709500,,-0.4
45,Sep 10 '88,Brandon,MB,CAN,73,196,R,2007,7,200,Y,25,CARSONMCMILLAN,Carson,McMillan,MIN,,,RW,1,0,0,0,0,0,1,0,0.0%,0.0%,42.0,0,0,0,8.1,8.1,13,13.0,0.62,0,0.00,0.0%,0.0%,0.0%,0,0,0.0%,0,0,0,2,1,0,0,0.0,0.0,14.8,7.4,0.0,0.0,0,0,0,0,0,0,0.0,,, ,,0,0,0,0,0,0,0,0,0%,4,0,0,0,0.00,0.00,0.1,0,0,0,0,0,0,0.00,0.00,,,,,,575000,,-1.0
44,Jan 21 '91,Davidson,SK,CAN,76,208,L,2009,3,66,Y,23,BRAYDENMCNABB,Brayden,McNabb,BUF,,,D,12,0,0,0,1,10,4,11,0.0%,0.0%,57.4,7,0,3,206.7,17.2,266,22.2,0.78,0,0.00,0.0%,0.0%,0.0%,0,0,0.0%,0,16,25,12,4,5,2,4.6,7.3,3.5,1.2,1.5,0.6,6,3,0,0,0,0,4.9,,, ,,0,6,0,0,0,0,0,0,0%,5,-0.3,0.7,0.4,0.03,0.12,2.8,2.4,2.6,-0.7,0.4,0,-0.3,-0.03,-0.09,,,,,,900000,,-1.9
54,Oct 12 '86,Charlottetown,PE,CAN,77,209,R,2005,2,55,,27,ADAMMCQUAID,Adam,McQuaid,BOS,,,D,30,1,5,6,12,25,7,25,4.0%,1.8%,57.4,12,4,9,481.4,16.0,664,22.1,0.73,19,2.42,2.1%,10.4%,12.5%,0,0,0.0%,0,40,54,42,7,10,1,5.0,6.7,5.2,0.9,1.2,0.1,69,12,7,1,0,0,-6.6,,, ,,0,4,0,0,0,0,0,0,0%,4,0.2,1.8,2,0.07,0.25,8.2,11.9,4,0.4,2.4,0,2.8,0.09,0.35,,,,51,"Groin, Lower body",1566667,,0.0
59,Feb 01 '90,Fort Lauderdale,FL,USA,73,195,R,,,,Y,23,JAYSONMEGNA,Jayson,Megna,PIT,,,C/LW,36,5,4,9,1,36,12,16,13.9%,7.8%,23.5,21,5,1,377.5,10.5,508,14.1,0.74,33,5.31,7.4%,5.9%,13.2%,2,8,20.0%,0.4,39,47,13,12,4,7,6.2,7.5,2.1,1.9,0.6,1.1,6,3,0,0,0,0,3.3,,, ,,0,5,0,0,2,0,0,0,0%,3,0.5,0.5,1,0.03,0.16,7.4,7.2,0.2,0.6,0.8,0,1.4,0.04,0.22,,,,13,Lower body,925000,,-0.2
71,Dec 06 '91,Richmond Hill,ON,CAN,73,190,L,2010,3,87,Y,22,JULIANMELCHIORI,Julian,Melchiori,WPG,,,D,1,0,0,0,-1,0,0,0,0.0%,0.0%,0.0,0,0,0,8.7,8.7,14,14.0,0.62,0,0.00,0.0%,0.0%,0.0%,0,0,0.0%,0,1,1,1,0,1,0,6.9,6.9,6.9,0.0,6.9,0.0,0,0,0,0,0,0,0.0,,, ,,0,0,0,0,0,0,0,0,0%,5,0,-0.1,-0.1,-0.10,-0.69,0.2,0.3,-1,-0.1,-0.1,0,-0.2,-0.20,-1.38,,,,,,671667,,-1.4
34,Feb 03 '92,Oklahoma City,OK,USA,75,205,L,2010,2,38,Y,21,JONMERRILL,Jon,Merrill,NJD,,,D,52,2,9,11,-3,45,24,54,4.4%,1.6%,49.0,10,11,23,999.8,19.2,1296,24.9,0.77,61,3.68,2.4%,10.7%,13.1%,0,0,0.0%,0,87,27,41,24,11,9,5.2,1.6,2.5,1.4,0.7,0.5,12,6,0,0,0,0,1.3,,, ,,0,18,1,0,2,0,0,0,0%,1,0.2,2.4,2.6,0.05,0.16,17.7,17.8,-0.8,0.1,2.6,0,2.7,0.05,0.16,,,,9,"Facial, Lower body",900000,,1.1
41,Oct 13 '85,Považská Bystrica,,SVK,74,223,L,2004,1,23,,28,ANDREJMESZAROS,Andrej,Meszaros,BOS,PHI,38,D,52,7,15,22,5,84,30,69,8.3%,3.8%,49.9,21,23,32,924.9,17.8,1284,24.7,0.72,70,4.52,11.5%,24.6%,36.1%,0,0,0.0%,0,52,67,64,30,28,11,3.4,4.3,4.2,1.9,1.8,0.7,40,15,0,1,0,0,-1.9,,, ,,1,12,0,0,0,0,0,0,0%,1,2.1,2.1,4.3,0.08,0.28,18.8,18.7,2.1,4.6,1.8,0,6.4,0.12,0.42,,,,,,2000000,,2.9
3,Jun 21 '85,Ottawa,ON,CAN,75,230,L,2003,6,168,,28,MARCMETHOT,Marc,Methot,OTT,,,D,75,6,17,23,0,117,37,56,5.1%,2.9%,53.9,44,7,58,1630.7,21.7,2053,27.4,0.79,97,3.58,5.9%,16.8%,22.8%,0,0,0.0%,0,119,181,110,37,43,21,4.4,6.7,4.0,1.4,1.6,0.8,28,14,0,0,0,0,0.7,,, ,,2,22,0,1,1,0,0,0,0%,5,1.3,2.8,4.1,0.05,0.15,27.4,35.8,3.2,2.9,2.1,0,4.9,0.07,0.18,,,,7,"Flu, Undisclosed, Neck",3000000,,-0.4
9,Dec 07 '84,Jindrichuv Hradec,,CZE,74,216,L,2003,1,6,,29,MILANMICHALEK,Milan,Michalek,OTT,,,LW,82,17,22,39,-25,169,66,63,10.1%,5.7%,29.5,97,17,18,1441.0,17.6,1988,24.2,0.72,98,4.06,14.5%,18.8%,33.3%,6,8,42.9%,0.2,134,86,31,66,14,32,5.6,3.6,1.3,2.7,0.6,1.3,41,18,1,0,0,0,-7.0,8,1,13%,0,3,24,0,0,1,0,0,0,0%,5,2.3,0.2,2.5,0.03,0.10,35.1,34.3,-18.9,0.8,-0.6,-1.3,-1.2,-0.01,-0.05,,,,,,4333333,,-8.8
4,Dec 23 '82,Jindrichuv Hradec,,CZE,74,210,R,,,,,31,ZBYNEKMICHALEK,Zbynek,Michalek,PHX,,,D,59,2,8,10,6,78,26,58,2.6%,1.2%,58.1,25,6,41,1237.4,21.0,1615,27.4,0.77,71,3.44,2.7%,11.0%,13.7%,0,0,0.0%,0,152,55,165,26,23,27,7.4,2.7,8.0,1.3,1.1,1.3,24,12,0,0,0,0,0.1,,, ,,0,16,0,0,1,0,0,0,0%,5,-0.2,3.3,3.1,0.05,0.15,16.4,23.6,6.9,0,3.6,0,3.5,0.06,0.17,,,,22,"Lower body, Upper body",4000000,,-3.5
21,Apr 15 '88,Grosse Pointe Woods,MI,USA,69,175,L,,,,Y,25,ANDYMIELE,Andy,Miele,PHX,,,C,7,0,2,2,4,6,1,3,0.0%,0.0%,33.4,4,1,0,65.5,9.4,93,13.3,0.70,0,0.00,0.0%,6.9%,6.9%,15,27,35.7%,10,5,4,2,1,1,2,4.6,3.7,1.8,0.9,0.9,1.8,5,0,1,0,0,0,0.9,,, ,,0,3,0,0,0,0,0,0,0%,5,0,0.2,0.3,0.04,0.28,1.6,1.6,4.2,-0.1,0.6,0,0.5,0.07,0.46,,,,,,675000,,-0.7
20,Feb 17 '84,Dover,NJ,USA,74,178,L,2003,6,186,,29,DREWMILLER,Drew,Miller,DET,,,LW,82,7,8,15,-11,117,36,27,6.0%,3.9%,26.3,61,20,3,1159.3,14.1,1602,19.5,0.72,92,4.75,5.2%,5.9%,11.1%,9,14,39.1%,0.4,145,122,63,36,9,26,7.5,6.3,3.3,1.9,0.5,1.3,21,7,1,0,0,0,-0.2,,, ,,1,24,0,0,1,0,0,0,0%,5,-0.8,0.8,0,0.00,0.00,19.8,28.6,-12.2,-2.4,3.8,0,1.4,0.02,0.07,,,,,,1350000,,-1.0
10,Mar 14 '93,East Palestine,OH,USA,73,205,L,2011,1,15,,20,J.T.MILLER,J.T.,Miller,NYR,,,C/LW,30,3,3,6,-6,46,19,14,6.5%,3.8%,28.6,19,12,7,343.6,11.5,489,16.3,0.70,0,0.00,6.8%,6.8%,13.6%,26,25,51.0%,2.8,32,44,17,19,7,11,5.6,7.7,3.0,3.3,1.2,1.9,18,9,0,0,0,0,-1.5,,, ,,3,5,0,0,0,0,0,0,0%,3,0,0.2,0.2,0.01,0.03,7,5.7,-5.9,-0.5,-0.1,0,-0.6,-0.02,-0.10,,,,,,1244167,,-2.8
86,Nov 15 '87,Los Angeles,CA,USA,74,210,R,,,,Y,26,KEVANMILLER,Kevan,Miller,BOS,,,D,47,1,5,6,20,41,20,40,2.4%,1.0%,54.0,6,7,22,820.7,17.5,1082,23.0,0.76,23,1.69,0.9%,4.5%,5.4%,0,0,0.0%,0,117,103,85,20,8,15,8.6,7.5,6.2,1.5,0.6,1.1,38,9,4,0,0,0,5.0,,, ,,0,11,0,0,1,0,0,0,0%,4,-0.2,3,2.8,0.06,0.20,11.9,15.2,9.4,-0.5,3.6,0,3.1,0.07,0.23,,,,,,550000,,2.1
51,May 03 '83,Terrace,BC,CAN,72,195,R,,,,,30,BRADLEYMILLS,Brad,Mills,CHI,,,C,3,0,0,0,-1,2,2,2,0.0%,0.0%,37.8,1,0,1,31.0,10.3,48,16.0,0.65,0,0.00,0.0%,0.0%,0.0%,8,6,57.1%,7.8,4,9,1,2,1,1,7.7,17.4,1.9,3.9,1.9,1.9,0,0,0,0,0,0,-0.1,,, ,,0,0,0,0,0,0,0,0,0%,5,-0.1,0,-0.1,-0.03,-0.19,0.7,1.1,-1.4,-0.3,0.1,0,-0.3,-0.10,-0.58,,,,6,Lower body,550000,,-1.3
7,Jan 22 '85,Oakville,ON,CAN,73,204,L,2003,5,158,,29,JOHNMITCHELL,John,Mitchell,COL,,,C,75,11,21,32,13,107,43,56,10.3%,5.3%,30.9,69,15,6,1220.1,16.3,1571,20.9,0.78,140,6.87,7.1%,13.6%,20.8%,374,374,50.0%,16.6,73,112,51,43,27,38,3.6,5.5,2.5,2.1,1.3,1.9,36,17,0,0,0,0,-4.0,,, ,,3,19,0,1,2,1,0,0,0%,6,1.3,1.6,2.9,0.04,0.14,19.9,22.4,7.8,3.8,2.9,0,6.7,0.09,0.33,,,,5,"Illness, Ankle",1100000,,4.8
17,Jan 30 '85,Greenfield Park,QC,CAN,71,189,R,2004,4,126,,29,TORREYMITCHELL,Torrey,Mitchell,BUF,MIN,58,C,67,2,8,10,-3,56,14,27,3.6%,2.1%,34.5,35,5,7,728.7,10.9,1154,17.2,0.63,73,6.02,1.9%,7.4%,9.3%,12,19,38.7%,0.8,39,60,25,14,11,13,3.2,4.9,2.1,1.2,0.9,1.1,25,10,1,0,0,0,-0.4,,, ,,0,15,0,0,0,0,0,0,0%,3,-0.7,0.8,0.1,0.00,0.01,12.1,15,-2.8,-1.8,1.8,0,0,0.00,0.00,,,,15,"Foot, Lower body, Leg",1900000,,-3.3
33,Apr 23 '77,Port McNeill,BC,CAN,75,210,L,1996,8,199,,36,WILLIEMITCHELL,Willie,Mitchell,LAK,,,D,76,1,11,12,14,73,42,62,1.4%,0.6%,53.2,30,7,33,1544.4,20.3,2065,27.2,0.75,28,1.10,0.9%,10.4%,11.3%,0,0,0.0%,0,179,102,128,42,56,10,7.0,4.0,5.0,1.6,2.2,0.4,58,24,0,1,0,0,-9.6,,, ,,0,19,0,0,0,0,0,0,0%,3,-0.5,5.2,4.7,0.06,0.18,27.1,36.3,1.7,-1.9,7.1,0,5.2,0.07,0.20,,,,5,Upper body,3500000,,-0.9
32,Apr 06 '82,Stewart Valley,SK,CAN,74,210,L,2000,5,155,,31,TRAVISMOEN,Travis,Moen,MTL,,,LW,65,2,10,12,2,56,29,18,3.6%,1.9%,24.2,35,1,1,749.4,11.5,1098,16.9,0.68,69,5.55,2.3%,11.5%,13.8%,7,1,87.5%,0.2,69,92,54,29,11,15,5.5,7.4,4.3,2.3,0.9,1.2,49,7,5,1,0,0,0.6,,, ,,1,18,0,0,0,0,0,0,0%,5,-0.5,1,0.5,0.01,0.04,11.8,19.2,-1.3,-0.8,3.8,0,3,0.05,0.24,,,,17,"Facial, Concussion, Flu",1850000,,-0.2
23,Oct 12 '94,Brampton,ON,CAN,74,185,L,2013,1,6,Y,19,SEANMONAHAN,Sean,Monahan,CGY,,,C,75,22,12,34,-20,140,44,66,15.7%,8.8%,32.3,98,23,3,1197.4,16.0,1695,22.6,0.71,90,4.51,20.2%,11.0%,31.2%,476,560,45.9%,23.1,33,42,23,44,31,26,1.7,2.1,1.2,2.2,1.6,1.3,8,4,0,0,0,0,1.5,8,5,63%,4,7,19,1,2,2,0,0,0,0%,4,2.9,0.7,3.6,0.05,0.18,27.8,23.5,-7.9,2.8,1.2,2.2,6.1,0.08,0.31,,,,7,Foot,1775000,,3.0
28,Aug 03 '80,Thornhill,ON,CAN,72,192,L,2000,3,95,,33,DOMINICMOORE,Dominic,Moore,NYR,,,C,73,6,12,18,0,96,26,23,6.3%,4.1%,28.6,46,5,14,855.3,11.7,1260,17.3,0.68,102,7.18,5.3%,10.6%,15.9%,354,294,54.6%,14.8,72,62,24,26,11,18,5.1,4.3,1.7,1.8,0.8,1.3,18,9,0,0,0,0,4.4,2,1,50%,0,0,12,0,0,1,0,0,0,0%,2,0.3,1.1,1.4,0.02,0.10,15.4,19,-4.4,0.5,3,0.3,3.8,0.05,0.27,,,,7,Upper body,1000000,,2.0
