#,DOB,Birth City,S/P,Ctry,Nat,HT,Wt,S,Draft,Round,Overall,Rk,Age,First Name,Last Name,End Team,Teams,OGP,Pos,GP,G,A,A1,PTS,+/-,Sh,Misses,Blocked,Sh%,CoSH%,TOI,TOI/G,Shifts,Sh/G,TOI/Sh,Passes,Pa/60,IGP,IAP,IPP,FOW,FOL,FO%,%Tm,OpenFOT,OpenFOW,HitA,HitF,BkS,MsS,GvA,TkA,HA/60,HF/60,B/60,M/60,G/60,T/60,PIM,Minor,Major,Misc,G Misc,Match,Grit,NetPen,SOS,SOG,SO%,SOGDG,1G,OTGP,OTG,OTA,GWG,ENG,PSG,PST,PS%,OPS,DPS,PS,PS/G,PS/60,DIA,OGIT,DIT,RPM,OGVT,DGVT,SGVT,GVT,GVT/G,GVT/60,1st Star,2nd Star,3rd Star,FO GAR,PenD GAR,PenT GAR,SRF GAR,SRA GAR,Sh GAR,GAR,dCFImpact,dCAImpact,dCorsiImpact,dCorsi60,dFFImpact,dFAImpact,dFenwickImpact,dFenwick60,Days,Ginj,Injury,Cap Cost,CHIP,Bonuses,GVS
38,Jun 15 '93,Dorchester,ON,CAN,CA,74,208,L,2011,2,37,,21,Boone,Jenner,CBJ,CBJ,,C,31,9,8,6,17,-5,83,24,29,10.8%,6.6%,566.4,18.3,755,24.4,0.75,47,5.03,31.0%,27.6%,58.6%,151,155,49.3%,15.8,10,7,42,102,25,25,17,18,4.4,10.8,2.6,2.6,1.8,1.9,12,6,0,0,0,0,139,7.1,2,1,50%,1,2,13,0,0,2,1,1,1,100%,1.3,0.3,1.7,0.05,0.18,5,13.0,11.7,-2.7,1.5,0.2,0.4,2.1,0.07,0.22,2,3,3,0.02,0.77,0.41,2.57,2.03,-0.21,5.59,-0.6,-1.6,1.0,0.1,3.7,-12.8,16.5,2.3,186,51,"Back, Hand",0.894,0.436,0.133,1.4
46,Mar 06 '93,Herning,,DNK,DK,75,202,L,2011,1,29,Y,21,Nicklas,Jensen,VAN,VAN,,RW/LW,5,0,0,0,0,-1,7,0,2,0.0%,0.0%,47.8,9.6,68,13.6,0.70,0,0.00,0.0%,0.0%,0.0%,0,0,0.0%,.0,,,2,7,4,0,1,0,2.5,8.8,5.0,0.0,1.3,0.0,0,0,0,0,0,0,11,-0.1,,, ,,0,3,0,0,0,0,0,0,0%,-0.1,0.0,-0.1,-0.02,-0.13,3,0.9,0.8,-1.0,-0.4,0.0,0.0,-0.4,-0.08,-0.50,0,0,0,0,-0.13,0.15,0,0,-0.54,-0.52,-3.0,-1.7,-1.3,-1.6,-0.9,-3.9,3.1,3.8,21,,,0.097,0,0,-0.5
6,Oct 05 '87,Pori,,FIN,FI,76,213,L,2006,2,60,,27,Jesse,Joensuu,EDM,EDM,,LW,20,2,2,0,4,-8,18,10,2,11.1%,6.7%,212.6,10.6,349,17.5,0.61,0,0.00,100.0%,100.0%,200.0%,0,0,0.0%,.0,,,23,37,9,10,4,9,6.5,10.4,2.5,2.8,1.1,2.5,14,7,0,0,0,0,60,-6.3,,, ,,0,3,0,0,0,0,0,0,0%,0.1,-0.1,0.0,0.00,0.00,4,4.5,5.9,-5.4,-0.2,0.2,0.0,0.0,0.00,0.00,0,0,1,0,-0.4,-0.57,0.77,-0.59,0.28,-0.51,39.2,-16.8,56.0,17.6,34.6,-14.7,49.2,15.4,186,,,0.348,0,0,0.4
19,Jul 31 '92,Vancouver,BC,CAN,CA,75,223,R,2010,1,4,,22,Ryan,Johansen,CBJ,CBJ,,C,82,26,45,24,71,-6,202,69,83,12.9%,7.3%,1599.2,19.5,2064,25.2,0.77,205,7.68,29.9%,51.7%,81.6%,851,787,52.0%,32.3,26,11,75,84,33,69,53,60,2.8,3.2,1.2,2.6,2.0,2.3,40,19,0,0,0,0,157,-4.5,11,6,55%,3,3,19,0,3,0,1,0,0,0%,6.4,1.3,7.8,0.10,0.29,6,39.8,37.0,0.7,11.0,1.9,2.4,15.3,0.19,0.57,2,8,2,1.18,-1.76,1.39,6.71,-3.48,5.44,9.48,-8.1,57.5,-65.6,-3.4,8.3,44.0,-35.7,-1.9,186,,,4,0,0,8.0
90,Oct 06 '90,Landskrona,,SWE,SE,73,205,L,2009,1,24,,24,Marcus,Johansson,WSH,WSH,,LW/C,82,20,27,8,47,6,138,52,63,14.5%,7.9%,1351.0,16.5,1614,19.7,0.84,94,4.17,26.0%,35.1%,61.0%,7,9,43.8%,.3,,,118,69,18,52,30,29,5.2,3.1,0.8,2.3,1.3,1.3,10,5,0,0,0,0,97,9.7,1,0,0%,0,3,21,0,0,1,2,0,0,0%,3.7,1.7,5.4,0.07,0.24,4,29.7,22.0,2.7,6.4,1.9,-0.3,8.1,0.10,0.36,1,2,1,-0.02,-0.39,2.88,4.53,1.51,2.55,11.06,16.6,-8.9,25.5,1.5,-5.1,-2.8,-2.3,-0.1,186,,,2,0,0,5.0
6,Mar 21 '88,Bloomington,MN,USA,US,76,232,R,2006,1,1,,26,Erik,Johnson,COL,COL,,D,47,12,11,5,23,2,115,37,74,10.4%,5.3%,1147.7,24.4,1455,31.0,0.79,51,2.64,26.7%,24.4%,51.1%,0,0,0.0%,.0,,,47,93,107,37,38,26,2.5,4.9,5.6,1.9,2.0,1.4,33,9,1,0,1,0,234,3.3,,, ,,3,18,0,0,2,0,0,0,0%,2.5,2.7,5.2,0.11,0.27,7,24.7,26.6,3.0,4.3,3.1,0.0,7.3,0.16,0.38,1,0,3,0,-0.24,0.93,0.03,-3.32,4.42,1.82,45.7,-28.1,73.8,5.2,50.2,-1.3,51.4,3.7,186,35,"Knee, Upper body",3.75,1.555,0,0.5
7,Jan 13 '87,Indianapolis,IN,USA,US,73,238,L,2005,1,3,,28,Jack,Johnson,CBJ,CBJ,,D,79,8,32,11,40,-13,141,56,76,5.7%,2.9%,1909.1,24.2,2133,27.0,0.90,84,2.63,9.0%,36.0%,44.9%,0,0,0.0%,.0,,,129,157,131,56,30,18,4.1,4.9,4.1,1.8,0.9,0.6,44,22,0,0,0,0,332,-4.3,2,1,50%,1,1,18,1,1,1,0,0,0,0%,3.0,2.4,5.4,0.07,0.17,5,43.2,42.3,-7.4,5.0,0.6,0.4,6.0,0.08,0.19,2,2,0,0,-0.03,0.49,-1.3,1.25,-0.86,-0.45,-24.6,-26.1,1.5,0.1,-13.1,-20.3,7.1,0.3,186,,,4.357,0,0,-2.1
9,Jul 29 '90,Spokane,WA,USA,US,68,183,R,,,,,24,Tyler,Johnson,TBL,TBL,,C,77,29,43,30,72,33,203,62,77,14.3%,8.5%,1327.4,17.2,1709,22.2,0.78,214,9.66,33.0%,48.9%,81.8%,537,566,48.7%,24.6,26,13,56,64,36,63,31,26,2.5,2.9,1.6,2.8,1.4,1.2,24,12,0,0,0,0,124,17.1,,, ,,3,13,2,1,6,1,0,1,100%,7.7,2.6,10.3,0.13,0.47,7,33.7,34.3,22.1,15.4,6.8,0.0,22.1,0.29,1.00,4,6,4,0.33,1.18,2.19,7.11,-2.41,6.21,14.61,92.7,44.3,48.5,3.0,83.1,46.0,37.1,2.3,186,5,"Illness, Lower body, Upper body",3.333,0.041,0,16.2
36,Apr 01 '83,Kalajoki,,FIN,FI,71,198,L,2001,6,192,,31,Jussi,Jokinen,FLA,FLA,,LW/C,81,8,36,19,44,-2,134,36,47,6.0%,3.7%,1355.8,16.7,1794,22.1,0.76,208,9.19,14.8%,66.7%,81.5%,126,124,50.4%,4.9,2,1,67,52,50,36,26,29,3.0,2.3,2.2,1.6,1.2,1.3,34,17,0,0,0,0,136,-5.0,12,2,17%,0,1,24,0,1,0,0,0,0,0%,2.1,1.4,3.5,0.04,0.15,8,28.8,27.1,-0.2,3.7,2.7,-1.4,5.0,0.06,0.22,1,0,0,0.21,-1.07,0.79,1.88,3.77,-2.23,3.35,6.6,37.1,-30.5,-1.9,2.5,14.9,-12.4,-0.8,186,1,Flu,4,0.049,0,-2.3
13,Dec 05 '78,Kuopio,,FIN,FI,74,210,L,1997,1,3,,36,Olli,Jokinen,STL,"NSH, TOR, STL",48,C,62,4,6,6,10,6,110,38,34,3.6%,2.2%,822.4,13.3,1187,19.1,0.69,108,7.84,25.0%,37.5%,62.5%,134,196,40.6%,8.2,4,3,37,64,19,38,11,11,2.7,4.7,1.4,2.8,0.8,0.8,28,14,0,0,0,0,111,-3.2,1,0,0%,0,0,18,0,1,1,0,0,0,0%,-0.7,1.1,0.4,0.01,0.03,0,9.6,13.4,3.1,-0.2,2.6,-0.3,2.1,0.03,0.15,0,0,1,-0.18,-0.33,0.08,1.06,1.69,-3.42,-1.1,-12.7,-20.2,7.5,25.2,7.7,-17.9,25.6,24.8,186,8,"Undisclosed, Upper body",2.5,0.243,0,-2.0
2,Aug 20 '91,Tampere,,FIN,FI,75,210,L,2011,7,195,Y,23,Jyrki,Jokipakka,DAL,DAL,,D,51,0,10,4,10,-2,40,23,38,0.0%,0.0%,842.1,16.5,1225,24.0,0.69,33,2.38,0.0%,30.3%,30.3%,0,0,0.0%,.0,,,92,42,66,23,37,16,6.6,3.0,4.7,1.6,2.6,1.1,8,4,0,0,0,0,116,-0.3,,, ,,0,12,0,1,0,0,0,0,0%,0.1,1.2,1.3,0.03,0.09,1,13.2,16.7,-0.4,0.4,1.1,0.0,1.6,0.03,0.11,0,0,2,0,-0.72,0.83,1.07,-1.91,-1.63,-2.36,-51.6,37.7,-89.2,-7.0,-35.1,34.1,-69.3,-5.4,136,,,0.548,0,0.048,1.3
41,Sep 27 '86,Central Butte,SK,CAN,CA,74,216,R,2005,4,102,,28,Blair,Jones,PHI,PHI,,C,4,0,0,0,0,-4,0,1,2,0.0%,0.0%,27.7,6.9,44,11.0,0.63,0,0.00,0.0%,0.0%,0.0%,5,5,50.0%,3.8,,,4,7,1,1,1,1,8.7,15.2,2.2,2.2,2.2,2.2,2,1,0,0,0,0,10,0.0,,, ,,0,2,0,0,0,0,0,0,0%,-0.1,-0.1,-0.2,-0.05,-0.43,4,1.2,1.1,-3.9,-0.5,-0.2,0.0,-0.8,-0.20,-1.73,0,0,0,0,0,0,0,0,0,0,1.8,6.7,-4.9,-11.0,1.6,6.7,-5.1,-11.4,41,,,0.132,0,0,-0.8
19,Aug 10 '84,Guelph,ON,CAN,CA,74,210,R,2003,9,288,,30,David,Jones,CGY,CGY,,RW,67,14,16,10,30,-3,114,47,45,12.3%,6.8%,960.7,14.3,1458,21.8,0.66,120,7.51,37.8%,43.2%,81.1%,15,16,48.4%,.7,,,72,125,45,47,26,24,4.5,7.8,2.8,2.9,1.6,1.5,18,8,0,0,0,0,188,0.3,,, ,,3,15,0,0,1,1,0,0,0%,2.2,0.9,3.1,0.05,0.19,7,19.5,18.5,-4.0,3.7,1.7,0.0,5.4,0.08,0.34,2,1,1,0.02,-0.22,1.21,4.48,0.77,1.32,7.58,34.1,20.3,13.8,0.9,41.6,10.3,31.4,2.1,186,13,"Lower body, Upper body",4,0.39,0,-1.9
3,Oct 03 '94,Arlington,TX,USA,US,76,205,R,2013,1,4,,20,Seth,Jones,NSH,NSH,,D,82,8,19,9,27,3,123,47,94,6.5%,3.0%,1630.4,19.9,2009,24.5,0.81,93,3.43,12.7%,30.2%,42.9%,0,0,0.0%,.0,,,85,72,90,47,46,41,3.1,2.6,3.3,1.7,1.7,1.5,20,10,0,0,0,0,182,10.4,,, ,,3,24,0,1,0,0,0,0,0%,1.9,3.5,5.4,0.07,0.20,2,31.3,32.6,-3.0,3.5,3.7,0.0,7.2,0.09,0.26,0,1,1,0,0.33,1.44,-2.62,3.97,-0.2,2.92,35.2,-49.2,84.4,4.0,20.4,-20.6,40.9,2.0,186,,,3.225,0,2.3,1.5
86,Jul 14 '90,Burlington,ON,CAN,CA,72,180,R,,,,Y,24,Josh,Jooris,CGY,CGY,,C/RW,60,12,12,6,24,1,89,41,33,13.5%,7.4%,869.5,14.5,1365,22.8,0.64,48,3.28,34.3%,34.3%,68.6%,276,291,48.7%,15.5,6,2,65,59,29,41,29,39,4.5,4.1,2.0,2.8,2.0,2.7,16,8,0,0,0,0,104,5.7,2,1,50%,0,2,14,1,1,4,1,0,0,0%,1.5,1.0,2.5,0.04,0.17,3,18.2,18.5,-0.5,1.9,2.2,0.4,4.5,0.08,0.31,2,1,2,0.16,-0.01,1.14,1.57,3.71,1.1,7.67,1.4,-42.9,44.3,3.6,-4.2,-58.8,54.6,4.4,178,10,"Undisclosed, Upper body, Wrist",0.885,0.023,0,3.7
47,Jul 17 '90,Zlin,,CZE,CZ,73,195,L,2008,4,105,Y,24,Michal,Jordan,CAR,CAR,,D,38,2,4,0,6,-7,44,8,33,4.5%,2.4%,605.9,15.9,853,22.4,0.71,0,0.00,11.1%,22.2%,33.3%,0,0,0.0%,.0,,,81,35,61,8,19,8,8.0,3.5,6.0,0.8,1.9,0.8,4,2,0,0,0,0,100,9.8,,, ,,0,5,0,0,0,0,0,0,0%,0.1,1.3,1.4,0.04,0.14,3,11.7,12.0,-1.3,-0.4,1.3,0.0,0.9,0.02,0.09,0,0,1,0,0.58,0.9,-1.69,0.03,-0.25,-0.43,-24.3,3.5,-27.8,-3.1,-27.4,-13.8,-13.6,-1.5,101,,,0.299,0,0,0.9
16,Mar 02 '91,Stockholm,,SWE,SE,73,190,L,2009,1,20,,23,Jacob,Josefson,NJD,NJD,,C,62,6,5,2,11,0,61,26,24,9.8%,5.4%,770.8,12.4,1117,18.0,0.69,36,2.77,31.6%,26.3%,57.9%,289,297,49.3%,16.5,3,0,75,55,30,26,14,15,5.8,4.3,2.3,2.0,1.1,1.2,24,11,0,0,0,0,109,-6.0,8,5,63%,3,1,16,0,0,1,0,0,0,0%,-0.3,1.0,0.8,0.01,0.06,3,12.4,16.4,0.2,-0.8,2.2,2.3,3.8,0.06,0.30,0,1,0,0.24,-0.89,0.77,0.85,1.72,-0.38,2.31,62.9,-35.6,98.4,9.7,32.2,-22.6,54.9,5.4,186,9,"Groin, Illness",0.8,0.029,0,3.3
59,Jun 01 '90,Bern,,CHE,CH,73,192,L,2008,2,38,,24,Roman,Josi,NSH,NSH,,D,81,15,40,22,55,15,201,55,134,7.5%,3.8%,2144.4,26.5,2444,30.2,0.88,200,5.59,15.8%,42.1%,57.9%,0,1,0.0%,.0,,,131,53,209,55,45,25,3.7,1.5,5.8,1.5,1.3,0.7,26,13,0,0,0,0,288,13.2,4,1,25%,0,3,24,1,3,4,1,0,0,0%,5.3,5.6,10.8,0.13,0.30,9,47.4,45.9,6.2,10.7,6.6,-0.2,17.2,0.21,0.48,3,3,3,0,-0.04,2.3,-3.51,0.91,4.07,3.73,-47.7,103.5,-151.1,-5.6,-29.3,65.2,-94.4,-3.5,186,1,Lower body,4,0.049,0,9.9
26,Dec 28 '92,Kosice,,SVK,SK,73,203,L,2011,2,35,,22,Tomas,Jurco,DET,DET,,RW,63,3,15,9,18,6,92,42,35,3.3%,1.8%,725.1,11.5,1060,16.8,0.68,123,10.14,10.7%,53.6%,64.3%,0,2,0.0%,.0,,,79,97,11,42,16,19,6.5,8.0,0.9,3.5,1.3,1.6,14,7,0,0,0,0,122,7.7,1,0,0%,0,0,18,0,0,0,0,0,0,0%,0.3,1.1,1.4,0.02,0.12,3,14.3,12.9,5.5,0.4,2.0,-0.3,2.1,0.03,0.17,0,0,1,-0.01,0.84,0.78,2.29,1.88,-5.16,0.62,42.9,-25.4,68.3,6.3,38.3,-23.3,61.5,5.7,186,14,"Back, Facial, Upper body",0.925,0.09,0.158,1.3
43,Oct 06 '90,London,ON,CAN,CA,72,188,L,2009,1,7,,24,Nazem,Kadri,TOR,TOR,,C,73,18,21,11,39,-7,176,71,80,10.2%,5.5%,1285.0,17.6,1599,21.9,0.80,95,4.41,33.3%,38.9%,72.2%,528,616,46.2%,24.8,34,16,177,118,23,71,43,44,8.3,5.5,1.1,3.3,2.0,2.1,28,14,0,0,0,0,169,21.8,3,1,33%,1,3,14,0,0,1,1,0,0,0%,3.0,1.2,4.1,0.06,0.19,8,28.2,24.5,6.5,4.5,1.3,0.1,5.9,0.08,0.28,1,4,3,0.12,3.45,1.46,9.95,-0.56,-1.65,12.77,63.1,-47.3,110.3,6.4,40.7,-36.9,77.5,4.5,186,2,Undisclosed,2.9,0.071,0,0.9
36,Jun 08 '86,Buffalo,NY,USA,US,73,198,R,2004,6,176,,28,Patrick,Kaleta,BUF,BUF,,RW,42,0,3,2,3,-11,25,5,10,0.0%,0.0%,372.4,8.9,565,13.5,0.66,37,5.93,0.0%,60.0%,60.0%,3,5,37.5%,.3,,,37,88,25,5,3,8,6.0,14.2,4.0,0.8,0.5,1.3,36,8,2,1,0,0,151,3.5,,, ,,0,6,0,0,0,0,0,0,0%,-0.7,0.0,-0.7,-0.02,-0.11,4,7.3,10.0,-7.6,-2.3,-0.1,0.0,-2.4,-0.06,-0.39,0,0,0,-0.01,0.6,-0.15,-1.78,-3.17,-1.88,-6.39,-1.0,-3.3,2.3,0.4,1.7,-2.9,4.6,0.8,186,35,"Facial, Illness, Lower body",1.25,0.244,0,-3.9
3,Sep 24 '88,Ann Arbor,MI,USA,US,71,192,R,2007,4,93,,26,Steven,Kampfer,FLA,FLA,,D,25,2,2,1,4,-4,28,18,20,7.1%,3.0%,429.9,17.2,544,21.8,0.79,10,1.40,22.2%,22.2%,44.4%,0,0,0.0%,.0,,,63,49,33,18,6,6,8.8,6.8,4.6,2.5,0.8,0.8,12,6,0,0,0,0,94,-1.2,,, ,,0,6,0,0,1,0,0,0,0%,0.1,0.6,0.7,0.03,0.10,2,7.3,7.7,-3.9,0.0,0.3,0.0,0.3,0.01,0.04,0,0,0,0,0.04,-0.04,-1.8,2.48,0.23,0.91,-1.2,9.8,-11.0,-1.7,-8.2,0.7,-8.9,-1.4,66,,,0.195,0,0,0.3
9,Aug 02 '91,Vancouver,BC,CAN,CA,74,198,L,2009,1,4,,23,Evander,Kane,WPG,WPG,,LW,37,10,12,7,22,-1,126,60,58,7.9%,4.1%,714.6,19.3,920,24.9,0.78,40,3.38,32.3%,38.7%,71.0%,30,37,44.8%,2.9,,,85,119,14,60,19,18,7.1,10.0,1.2,5.0,1.6,1.5,56,17,2,0,1,0,191,-7.1,5,2,40%,1,2,13,0,1,1,1,0,0,0%,1.7,0.7,2.4,0.06,0.20,6,17.7,16.6,-4.4,1.5,1.3,0.4,3.2,0.09,0.27,0,1,1,0.03,0.15,-0.77,2.67,-1.57,-0.62,-0.11,5.5,-0.6,6.0,0.7,5.9,0.0,5.9,0.7,186,43,"Knee, Lower body, Shoulder",5.25,2.35,0,-6.8
88,Nov 19 '88,Buffalo,NY,USA,US,71,177,L,2007,1,1,,26,Patrick,Kane,CHI,CHI,,RW,61,27,37,25,64,10,186,55,82,14.5%,8.4%,1210.9,19.9,1398,22.9,0.87,192,9.53,37.0%,50.7%,87.7%,3,4,42.9%,.1,,,71,22,14,55,30,36,3.5,1.1,0.7,2.7,1.5,1.8,10,5,0,0,0,0,46,6.9,10,6,60%,2,2,16,0,1,5,2,0,0,0%,6.9,1.9,8.8,0.14,0.44,5,34.9,26.3,6.1,11.4,2.2,2.7,16.3,0.27,0.81,6,5,6,0,-0.52,2.85,4.22,-0.79,7.96,13.72,-86.4,56.0,-142.4,-9.2,-50.4,41.7,-92.1,-6.0,186,21,Collarbone,6.3,1.613,0,4.1
65,May 31 '90,Landsbro,,SWE,SE,72,180,R,2008,1,15,,24,Erik,Karlsson,OTT,OTT,,D,82,21,45,25,66,7,292,145,217,7.2%,3.2%,2234.9,27.3,2191,26.7,1.02,229,6.15,17.6%,37.8%,55.5%,0,0,0.0%,.0,,,133,93,89,145,99,59,3.6,2.5,2.4,3.9,2.7,1.6,42,21,0,0,0,0,224,8.5,4,1,25%,1,2,26,1,3,3,0,0,0,0%,7.2,4.7,11.9,0.15,0.32,5,57.6,42.6,1.7,13.8,1.4,-0.2,15.0,0.18,0.40,6,7,6,0,0.31,0.91,7.52,3.87,4.79,17.4,13.5,-34.4,47.9,1.7,-0.4,-10.9,10.5,0.4,186,,,6.5,0,0,2.3
68,Jul 18 '90,Lycksele,,SWE,SE,72,180,R,,,,Y,24,Melker,Karlsson,SJS,SJS,,C,53,13,11,5,24,-3,100,41,33,13.0%,7.5%,818.1,15.4,1203,22.7,0.68,38,2.79,39.4%,33.3%,72.7%,13,20,39.4%,1.0,,,108,51,26,41,22,21,7.9,3.7,1.9,3.0,1.6,1.5,20,10,0,0,0,0,97,-2.4,4,2,50%,0,2,9,0,0,2,0,0,0,0%,1.8,0.8,2.6,0.05,0.19,5,17.5,17.1,-0.9,2.6,1.8,0.7,5.2,0.10,0.38,0,1,2,-0.03,0.1,0.48,1.31,2.78,3.03,7.67,-6.6,-58.6,52.0,4.3,-4.6,-45.2,40.5,3.4,124,,,0.617,0,0.1,4.7
20,Jan 08 '93,Marsta,,SWE,SE,72,185,L,2011,2,53,Y,22,William,Karlsson,CBJ,"ANA, CBJ",18,C,21,3,2,2,5,3,29,15,8,10.3%,5.8%,256.9,12.2,338,16.1,0.76,21,4.94,23.1%,15.4%,38.5%,93,104,47.2%,14.7,2,1,33,18,7,15,9,8,7.7,4.2,1.6,3.5,2.1,1.9,2,1,0,0,0,0,27,3.6,1,1,100%,1,1,8,0,0,1,0,0,0,0%,0.2,0.4,0.6,0.03,0.14,2,5.7,4.5,3.2,-0.3,0.6,0.6,0.9,0.04,0.21,2,0,0,0.04,-0.07,0.66,-0.38,0.39,0.34,0.98,-6.0,11.9,-17.9,-20.6,-2.0,12.2,-14.2,-18.2,63,3,Flu,0.313,0.034,0,0.6
9,Jan 24 '91,Windsor,ON,CAN,CA,75,214,R,2009,1,13,,24,Zack,Kassian,VAN,VAN,,RW,42,10,6,4,16,-5,55,16,21,18.2%,10.9%,530.0,12.6,714,17.0,0.74,43,4.82,37.0%,22.2%,59.3%,0,6,0.0%,.2,,,40,88,2,16,14,10,4.5,10.0,0.2,1.8,1.6,1.1,81,18,1,3,1,0,172,-3.9,,, ,,1,6,0,0,3,0,0,0,0%,1.5,0.3,1.8,0.04,0.20,3,13.7,12.0,-5.3,1.2,0.2,0.0,1.4,0.03,0.16,0,0,1,-0.03,0.81,-1.31,2.03,-2.6,4.39,3.29,-8.8,-4.7,-4.1,-0.5,-4.2,3.8,-8.0,-1.0,186,34,"Back, Finger, Flu, Lower body, Undisclosed",1.75,0.299,0,-1.2
2,Jul 16 '83,Winnipeg,MB,CAN,CA,73,192,L,2002,2,54,,31,Duncan,Keith,CHI,CHI,,D,80,10,35,19,45,12,171,71,163,5.8%,2.5%,2045.0,25.6,2392,29.9,0.85,184,5.41,11.2%,39.3%,50.6%,0,0,0.0%,.0,,,126,16,113,71,63,43,3.7,0.5,3.3,2.1,1.8,1.3,20,10,0,0,0,0,149,0.8,,, ,,3,18,0,1,2,0,0,0,0%,3.6,5.7,9.3,0.12,0.27,7,46.8,45.2,3.0,6.5,5.8,0.0,12.3,0.15,0.36,3,3,2,0,-1.77,2.18,6.13,2.96,0.04,9.54,112.4,-21.0,133.4,5.3,74.2,6.1,68.2,2.7,186,1,Illness,5.551,0.068,0,1.7
23,Nov 11 '80,Toronto,ON,CAN,CA,72,198,L,1999,3,94,,34,Chris,Kelly,BOS,BOS,,C,80,7,21,9,28,6,112,42,34,6.3%,3.7%,1211.3,15.1,1665,20.8,0.73,127,6.31,21.2%,63.6%,84.8%,262,277,48.6%,11.0,6,2,76,126,61,42,16,28,3.8,6.2,3.0,2.1,0.8,1.4,48,14,2,1,0,0,237,2.3,1,0,0%,0,0,26,0,0,2,1,0,0,0%,0.6,1.6,2.1,0.03,0.10,7,21.1,24.9,1.6,1.5,3.6,-0.3,4.8,0.06,0.24,1,3,1,0.22,0.01,1.41,3.07,4.95,-2.63,7.03,-34.5,-58.8,24.4,1.4,-31.3,-66.7,35.4,2.1,186,2,Undisclosed,3,0.073,0,-0.4
41,Feb 28 '91,Riga,,LVA,RU,72,201,L,,,,Y,23,Ronalds,Kenins,VAN,VAN,,LW,30,4,8,5,12,-2,38,12,18,10.5%,5.9%,368.1,12.3,509,17.0,0.72,59,9.66,28.6%,57.1%,85.7%,0,0,0.0%,.0,,,39,71,7,12,9,13,6.4,11.6,1.1,2.0,1.5,2.1,8,4,0,0,0,0,86,-4.6,,, ,,1,9,0,0,0,0,0,0,0%,0.8,0.3,1.1,0.04,0.18,3,6.6,6.3,-2.2,1.9,0.2,0.0,2.2,0.07,0.36,0,1,0,0,-0.71,0.45,0.39,0.34,0.58,1.05,-23.6,-14.5,-9.1,-1.4,-22.4,-6.7,-15.7,-2.4,73,,,0.363,0,0.207,1.9
26,Jul 15 '86,Sault Ste. Marie,ON,CAN,CA,71,185,R,2004,4,99,,28,Tyler,Kennedy,NYI,"SJS, NYI",25,C/LW,38,6,8,6,14,-2,79,23,39,7.6%,4.3%,424.3,11.2,614,16.2,0.69,68,9.65,35.3%,47.1%,82.4%,13,15,46.4%,1.1,,,49,49,8,23,6,20,6.9,6.9,1.1,3.3,0.8,2.8,10,5,0,0,0,0,67,-3.7,1,0,0%,0,1,7,0,1,2,0,0,0,0%,1.1,0.4,1.4,0.04,0.20,2,9.6,9.5,-1.6,1.6,1.0,-0.3,2.3,0.06,0.33,0,0,2,0.01,-0.6,0.2,1.57,-1.08,1.31,1.41,53.3,8.4,45.0,12.8,16.8,17.6,-0.8,-0.8,186,35,"Lower body, Shoulder, Undisclosed",2.35,0.143,0,-1.5
17,Aug 31 '84,Livonia,MI,USA,US,74,208,R,2003,1,23,,30,Ryan,Kesler,ANA,ANA,,C,81,20,27,16,47,-5,205,88,90,9.8%,5.2%,1580.5,19.5,1960,24.2,0.81,171,6.51,32.3%,43.5%,75.8%,937,727,56.3%,32.7,36,17,122,169,69,89,27,47,4.6,6.4,2.6,3.4,1.0,1.8,75,25,3,1,0,0,316,-3.2,10,4,40%,2,5,23,2,0,4,1,1,1,100%,3.2,1.3,4.5,0.06,0.17,9,34.1,34.9,-9.2,4.7,3.0,0.9,8.6,0.11,0.33,5,3,2,2,-0.31,-0.04,6.64,0.35,-1.73,6.91,12.2,15.9,-3.6,-0.2,-13.1,27.0,-40.1,-2.2,186,1,Upper body,5,0.061,0,-0.9
81,Oct 02 '87,Madison,WI,USA,US,72,202,R,2006,1,5,,27,Phil,Kessel,TOR,TOR,,RW/C,82,25,36,17,61,-34,280,88,138,8.9%,4.9%,1541.1,18.8,1796,21.9,0.86,181,7.07,33.8%,48.6%,82.4%,2,3,40.0%,.1,,,58,18,13,90,64,34,2.3,0.7,0.5,3.5,2.5,1.3,30,15,0,0,0,0,61,-5.7,1,0,0%,0,5,16,1,1,4,1,1,2,200%,5.6,0.3,5.9,0.07,0.23,4,39.3,28.1,-13.3,8.6,-1.9,-0.3,6.4,0.08,0.25,7,1,2,0,-2.17,1.96,8.99,-9.28,0.09,-0.41,-2.2,138.9,-141.1,-7.4,6.4,103.5,-97.1,-5.1,186,,,8,0,0,-9.5
76,Sep 09 '93,Moscow,,RUS,RU,71,184,L,2011,2,40,Y,21,Alex,Khokhlachev,BOS,BOS,,C/LW,3,0,0,0,0,-2,1,0,0,0.0%,0.0%,24.6,8.2,36,12.0,0.68,0,0.00,0.0%,0.0%,0.0%,9,8,52.9%,10.1,,,4,1,0,0,1,0,9.8,2.4,0.0,0.0,2.4,0.0,0,0,0,0,0,0,1,0.0,1,1,100%,1,0,2,0,0,0,0,0,0,0%,-0.1,-0.1,-0.1,-0.03,-0.24,1,0.6,0.6,-2.1,-0.3,-0.1,0.6,0.2,0.07,0.49,1,0,0,0.02,-0.06,0.07,0,0,-0.07,-0.04,-8.0,2.1,-10.1,-29.2,-3.7,4.5,-8.1,-23.4,6,,,0.029,0,0.107,0.2
