,DOB,Birth City,S/P,Cntry,Nat,Ht,Wt,Sh,Dft Yr,Rd,Ovrl,Debut,Seas,nhlID,Last Name,First Name,Team(s),GP,GS,GR,W,L,T,OTL,SA,SV,GA,SV%,GAA,GSAA,GSAA,T-SAX,SAX,MIN,SO,G,A,PTS,PIM,PenT,PenD,PenDf,SH%,Supp,QoC,QoS,StMin,StSV,StGA,StSV%,StGAA,QS,QS,QS%,RBS,Pull,ReMin,ReSV,ReGA,ReSV%,ReGAA,HP S,HP G,HP SV%,HighS,HighG,HighSV%,MedS,MedG,LowS,LowG,AdjSV%,EVSA,EVGA,EV SV%,PP SA,PP GA,PP SV%,SH SA,SH GA,SH SV%,AdjSV%,CA,FA,SA,xGA,GA,SCA,HDCA,HDGA,TrueSV%,ExpSV%,xGSAA,ZS%,OZS,DZS,NZS,CF,FF,SF,GF,SCF,HDCF,HDGF,SOS,SOG,SO SV%,SOW,SOL,NMC,Status,Salary,Cap Hit,GVA,Pace,GPS,Ginj,Injuries,CHIP,GP,GS,W,L,OTL,GA,SA,SO,PIM,MIN,QS,RBS,GPS
73,1988/03/23,Ústí nad Labem,,CZE,CZE,73,209,L,2006,2,34,2008,10,8473607,Neuvirth,Michal,PHI,22,18,4,9,7,0,3,530,485,45,.915,2.60,0.9,2.6,2.4,1.9,62323,1,0,1,1,0,0,1,1,8.1%,2.54,8.94%,8.93,975.1,461,44,.913,2.71,10,9,50.0%,5,4,63.7,24,1,.960,0.94,,,,107,26,.757,193,13,230,6,.910,452,30,.934,63,12,.810,15,3,.800,.912,985,724,530,47.6,45,178,178,26,.938,.910,2.6,47.6%,340,374,326,1015,760,544,44,507,193,19,16,4,.789,1,3,,UFA,"$2,500,000","$2,500,000",8,115.5,3.1,13,"Lower body, Undisclosed",469,250,221,104,89,25,600,6800,11,6,13486,116,33,39.3
74,1994/07/22,Moravska Trebova,,CZE,CZE,74,190,L,2012,7,184,2016,2,8476986,Langhamer,Marek,ARI,1,0,1,0,0,0,0,10,10,0,1.000,0.00,0.9,0.8,0.9,1.3,1733,0,0,0,0,0,0,0,0,13.3%,4.15,,2,,,,.000,0.00,0,,0.0%,,,28.9,10,0,1.000,0.00,,,,2,0,1.000,3,0,5,0,1.000,7,0,1.000,3,0,1.000,0,0,.000,.972,27,20,10,0.8,0,2,2,0,1.000,.920,.8,55.0%,11,9,10,32,19,15,2,18,10,1,,, ,,,,RFA,"$660,000","$660,000",0,122.6,0.2,,,,2,0,0,0,0,1,18,0,0,45,0,0,0.2
75,1993/07/31,Lugnvik,,SWE,SWE,76,221,L,2012,6,163,2015,3,8476999,Ullmark,Linus,BUF,5,3,2,1,2,0,0,123,115,8,.935,2.00,2.6,0.6,2.4,2.6,14418,0,0,0,0,0,0,0,0,3.0%,1.00,8.50%,8.36,178.4,93,6,.939,2.02,2,2,66.7%,0,0,61.9,22,2,.917,1.94,,,,17,5,.706,43,3,63,0,.908,114,6,.947,8,2,.750,1,0,1.000,.920,214,174,123,8.6,8,35,35,6,.954,.930,.6,48.0%,82,89,65,235,179,132,4,114,43,3,,, ,,,,RFA,"$700,000","$750,000",1,112.1,1.0,4,Undisclosed,195,26,24,9,13,2,60,724,0,0,1430,15,4,4.4
76,1985/05/13,Bratislava,,SVK,SVK,71,183,L,2003,9,271,2006,12,8470860,Halak,Jaroslav,NYI,54,49,5,20,26,0,6,1744,1583,161,.908,3.19,-10.1,0.3,-8.3,-16.3,181443,1,0,0,0,4,2,2,0,9.3%,2.82,8.74%,8.36,2899.0,1533,157,.907,3.25,22,22,44.9%,8,2,125.0,50,4,.926,1.92,,,,398,89,.776,703,50,629,21,.910,1420,117,.918,270,37,.863,54,7,.870,.908,3102,2346,1744,160.3,161,656,656,97,.931,.908,-.7,44.7%,893,1103,934,2789,2070,1534,142,1476,612,79,14,2,.975,3,1,,UFA,"$5,000,000","$4,500,000",35,116.9,8.9,2,Illness,110,449,418,232,150,48,1076,12769,42,14,25821,234,53,80.8
77,1986/06/10,Saskatoon,SK,CAN,CAN,75,197,L,2006,5,125,2009,8,8473434,Johnson,Chad,BUF,36,29,7,10,17,0,3,962,857,105,.891,3.55,-21.7,-18.3,-18.9,-23.1,106412,0,0,0,0,0,0,4,4,9.4%,2.84,8.93%,8.53,1567.9,778,93,.893,3.56,12,12,41.4%,6,5,205.6,79,12,.868,3.50,,,,213,59,.723,344,37,402,8,.890,796,79,.901,145,23,.841,21,3,.857,.891,1691,1321,963,85.7,105,317,317,64,.921,.911,-19.3,51.9%,630,584,596,1573,1234,892,84,755,303,44,,, ,,,,UFA,"$2,500,000","$2,500,000",11,110.4,3.1,2,Head,61,173,153,78,61,15,419,4651,7,0,9490,80,24,25.5
78,1993/01/12,Saint-Augustin,QC,CAN,CAN,74,190,L,,,,2017,1,8476509,Lagace,Maxime,VGK,16,14,2,6,7,0,1,430,373,57,.867,3.92,-19.8,-16.2,-19.0,0.0,52411,0,0,0,0,0,0,2,2,10.4%,3.50,8.81%,8.87,810.9,353,49,.878,3.63,5,6,42.9%,3,2,62.6,20,8,.714,7.66,,,,100,30,.700,186,18,145,9,.872,339,42,.876,81,14,.827,10,1,.900,.870,820,596,431,40.8,57,156,156,33,.904,.905,-16.2,47.9%,302,328,335,870,650,489,51,452,171,28,3,1,.964,0,1,,UFA,"$650,000","$650,000",8,116.1,0.3,,,,16,14,6,7,1,57,430,0,0,874,5,3,0.3
79,1985/04/09,Newmarket,ON,CAN,CAN,74,209,L,2003,9,291,2007,11,8470880,Elliott,Brian,PHI,43,42,1,23,11,0,7,1228,1116,112,.909,2.66,-5.7,-5.9,-5.0,-5.6,151320,1,0,1,1,2,1,1,0,9.6%,3.00,8.71%,8.26,2498.7,1103,112,.908,2.69,20,22,52.4%,6,2,23.3,13,0,1.000,0.00,,,,265,58,.781,452,42,500,11,.907,1030,77,.925,154,29,.812,44,6,.864,.907,2371,1743,1228,105.1,112,452,452,62,.936,.914,-6.9,49.2%,818,846,818,2310,1750,1306,126,1128,430,62,9,5,.919,1,2,,UFA,"$2,500,000","$2,750,000",18,111.4,6.4,4,Lower body,195,415,380,214,128,42,941,10798,37,8,23072,212,64,64.4
80,1988/05/29,Oakville,ON,CAN,CAN,76,210,R,2006,3,69,2008,10,8473461,Mason,Steve,WPG,13,12,1,5,6,0,1,392,355,37,.906,3.24,-3.1,0.5,-4.6,-2.0,41093,1,0,1,1,0,0,0,0,7.9%,2.54,8.25%,7.54,664.9,350,37,.904,3.34,5,5,41.7%,3,2,20.0,5,0,1.000,0.00,,,,96,22,.771,137,11,159,4,.909,304,27,.911,77,10,.870,11,0,1.000,.908,716,538,392,37.5,37,137,137,18,.931,.904,.5,50.0%,238,238,215,667,511,367,29,313,134,14,,, ,,,,UFA,"$4,100,000","$4,100,000",9,121.2,1.9,4,Knee,195,476,457,205,183,64,1211,13559,34,22,26947,233,87,77.8
81,1986/05/07,Ust-Kamenogorsk,,KAZ,RUS,71,195,L,2004,7,206,2009,9,8471418,Khudobin,Anton,BOS,31,29,2,16,6,0,7,876,800,76,.913,2.56,-0.2,5.5,-0.3,-2.5,106843,1,0,2,2,2,1,2,1,9.5%,3.13,8.63%,8.51,1721.4,778,74,.913,2.58,16,16,55.2%,4,1,59.3,22,2,.917,2.02,,,,217,43,.802,324,26,335,7,.917,689,57,.917,144,16,.889,43,3,.930,.913,1623,1216,876,81.5,76,312,312,44,.938,.907,5.5,52.5%,625,565,621,1780,1351,977,93,906,337,44,18,4,.909,1,2,,UFA,"$1,200,000","$1,200,000",14,114.7,5.0,4,Lower body,195,147,135,67,51,16,336,3973,6,8,8147,74,24,24.5
82,1986/04/28,Plymouth,,GBR,GBR,72,198,L,2004,7,221,2007,3,8471433,Taylor,Daniel,OTT,1,1,0,0,1,0,0,34,30,4,.882,4.10,-1.1,-1.5,-0.9,-0.5,3509,0,0,0,0,0,0,0,0,7.4%,2.05,9.24%,8.35,58.5,30,4,.882,4.10,0,0,0.0%,0,0,0.0,0,0,.000,0.00,,,,5,2,.600,16,2,13,0,.864,31,3,.903,3,1,.667,0,0,.000,.843,63,49,34,2.5,4,9,9,1,.918,.928,-1.5,35.7%,15,27,16,40,36,27,2,19,5,1,,, ,,,,UFA,"$850,000","$850,000",0,105.7,0.1,,,,4,3,1,2,0,12,112,0,0,198,1,0,0.4
83,1987/01/03,Bulach,,CHE,CHE,76,218,L,2006,4,106,2013,5,8473499,Berra,Reto,ANA,5,1,4,1,1,0,0,95,88,7,.926,2.31,1.2,1.7,1.2,2.2,10917,0,0,0,0,0,0,0,0,6.3%,1.98,8.73%,9.09,65.0,40,2,.952,1.85,1,1,100.0%,0,0,117.0,48,5,.906,2.56,,,,20,4,.800,36,2,39,1,.924,66,3,.955,29,4,.862,0,0,.000,.914,191,139,95,8.7,7,37,37,3,.950,.908,1.7,50.0%,62,62,64,172,131,96,6,85,36,5,9,3,.400,1,0,,UFA,"$700,000","$700,000",5,119.7,0.7,,,,76,58,20,36,4,175,1837,3,4,3682,27,13,8.9
84,1988/03/15,Morweena,MB,CAN,CAN,74,217,L,2006,4,99,2010,8,8473503,Reimer,James,FLA,44,42,2,22,14,0,6,1373,1253,120,.913,2.99,-1.2,9.8,0.5,-3.8,144685,4,0,1,1,4,2,7,5,9.8%,3.16,8.76%,8.72,2355.5,1226,116,.914,2.95,22,22,52.4%,8,6,55.9,27,4,.871,4.29,,,,331,64,.807,518,44,523,12,.916,1110,95,.914,236,23,.903,27,2,.926,.913,2457,1861,1373,129.8,120,471,471,74,.936,.905,9.8,43.6%,763,988,862,2259,1752,1294,127,1087,385,69,14,5,.928,0,3,,UFA,"$3,200,000","$3,400,000",12,117.3,7.7,5,Groin,207,302,277,131,108,34,759,8921,21,12,16393,143,48,54.5
85,1982/01/17,,,,,,,,,,,2017,1,8479138,Foster,Scott,CHI,1,0,1,0,0,0,0,7,7,0,1.000,0.00,0.6,0.5,0.7,0.0,841,0,0,0,0,0,0,0,0,0.0%,0.00,,7,,,,.000,0.00,0,,0.0%,,,14.0,7,0,1.000,0.00,,,,1,0,1.000,4,0,2,0,1.000,6,0,1.000,1,0,1.000,0,0,.000,.972,18,11,7,0.5,0,2,2,0,1.000,.930,.5,41.7%,5,7,0,16,11,10,0,9,4,0,,, ,,,,,,,0,145.5,0.1,,,,1,0,0,0,0,0,7,0,0,14,0,0,0.1
86,1982/11/03,Kempele,,FIN,FIN,77,217,L,2004,8,258,2005,12,8471469,Rinne,Pekka,NSH,59,59,0,42,13,0,4,1840,1706,134,.927,2.31,25.2,24.6,26.2,17.9,208527,8,0,1,1,6,3,4,1,10.0%,3.16,8.71%,8.6,3475.5,1706,134,.927,2.31,40,40,67.8%,5,3,0.0,0,0,.000,0.00,,,,400,69,.828,656,47,785,18,.925,1480,91,.939,302,40,.868,58,3,.948,.928,3302,2465,1841,158.6,134,619,619,72,.946,.914,24.6,47.5%,1204,1329,1160,3344,2537,1822,183,1536,595,100,34,7,.930,6,3,"M-NTC, NMC",UFA,"$7,000,000","$7,000,000",33,114.7,13.2,,,,567,555,311,168,66,1301,15976,51,52,32895,323,81,105.7
87,1983/08/29,Vantaa,,FIN,FIN,74,215,L,,,,2008,10,8474550,Niemi,Antti,"PIT, FLA, MTL",24,20,4,7,9,0,4,710,647,63,.911,3.12,-1.6,3.2,2.4,-1.1,72786,1,0,1,1,0,0,2,2,8.1%,2.32,9.26%,9.38,1105.9,586,55,.914,2.98,12,12,60.0%,4,2,107.2,61,8,.884,4.48,,,,166,35,.789,285,24,259,4,.915,553,40,.928,140,23,.836,17,0,1.000,.916,1333,1005,710,66.2,63,269,269,36,.937,.907,3.2,45.9%,377,445,400,1097,802,579,47,538,233,25,9,4,.840,0,3,,UFA,"$700,000","$700,000",6,120.2,3.9,4,Lower body,195,447,426,234,134,55,1062,12173,36,8,25296,227,63,72.1
88,1988/08/07,Laval,QC,CAN,CAN,72,184,L,2006,1,11,2007,10,8473541,Bernier,Jonathan,COL,37,34,3,19,13,0,3,1092,997,95,.913,2.85,-0.5,-7.8,-0.2,-1.7,120083,2,0,1,1,0,0,1,1,10.5%,3.21,8.66%,8.73,1936.8,960,91,.913,2.82,18,17,50.0%,5,4,64.6,37,4,.902,3.72,,,,196,45,.770,382,34,509,16,.903,865,67,.923,200,22,.890,27,6,.778,.914,2011,1498,1093,87.2,95,353,353,53,.937,.920,-7.8,44.7%,613,757,642,1832,1366,1018,107,889,321,53,3,2,.962,0,1,,UFA,"$2,750,000","$2,750,000",5,115.2,6.2,4,Neck,195,289,261,128,108,30,708,8264,16,10,15861,143,41,49.8
89,1991/08/13,Rochester,NH,USA,USA,72,181,L,,,,2017,1,8479193,DeSmith,Casey,PIT,14,11,3,6,4,0,1,356,328,28,.921,2.40,2.8,7.8,3.1,0.0,42009,1,0,0,0,2,1,1,0,9.5%,3.09,8.64%,8.62,602.2,299,24,.926,2.39,7,7,63.6%,1,1,97.9,29,4,.879,2.45,,,,103,22,.786,118,4,135,2,.934,284,19,.933,48,8,.833,24,1,.958,.919,665,490,356,35.8,28,156,156,22,.943,.899,7.8,50.3%,235,232,244,676,511,377,36,361,139,16,,, ,,,,UFA,"$700,000","$675,000",5,114.9,2.3,,,,14,11,6,4,1,28,356,1,2,700,7,1,2.3
90,1990/01/31,Gävle,,SWE,SWE,78,196,L,2008,2,31,2010,8,8474593,Markstrom,Jacob,VAN,60,57,3,23,26,0,7,1745,1591,154,.912,2.71,-3.0,-4.1,-1.8,10.9,204823,2,0,3,3,4,2,5,3,8.6%,2.51,8.71%,8.64,3325.5,1560,151,.912,2.72,29,30,52.6%,8,3,88.2,31,3,.912,2.04,,,,368,77,.791,640,55,709,19,.910,1457,112,.923,230,37,.839,58,5,.914,.910,3226,2432,1747,146.9,154,605,605,81,.937,.916,-7.1,49.3%,1115,1148,1052,3027,2267,1657,143,1510,596,83,19,8,.904,0,4,,UFA,"$3,400,000","$3,666,667",29,109.9,9.6,1,Undisclosed,45,169,153,59,79,19,437,4740,2,10,9259,74,25,24.7
91,1990/08/07,Fredericton,NB,CAN,CAN,74,203,L,2008,2,34,2012,5,8474596,Allen,Jake,STL,59,56,3,27,25,0,3,1614,1462,152,.906,2.75,-12.3,-15.9,-8.8,-15.0,199018,1,0,1,1,0,0,1,1,8.4%,2.70,8.89%,8.8,3204.3,1417,146,.907,2.73,27,29,51.8%,8,5,112.6,45,6,.882,3.20,,,,327,69,.789,633,62,654,21,.903,1357,110,.919,217,36,.834,40,6,.850,.904,3019,2186,1614,136.1,152,509,509,79,.930,.916,-15.9,49.5%,1094,1117,1058,3242,2411,1765,149,1586,542,69,2,0,1.000,1,0,,UFA,"$3,850,000","$4,350,000",21,113.3,7.9,,,,219,205,117,71,15,503,5749,16,6,12199,109,35,33
92,1985/12/19,Thunder Bay,ON,CAN,CAN,73,202,L,,,,2012,6,8475622,Hutton,Carter,STL,32,26,6,17,7,0,3,810,754,56,.931,2.09,14.1,16.9,15.9,16.6,96572,3,0,0,0,2,1,2,1,7.7%,2.50,8.89%,9.26,1461.2,696,45,.939,1.85,19,19,73.1%,2,3,148.4,58,11,.841,4.45,,,,180,37,.794,292,13,338,6,.930,670,43,.936,111,10,.910,29,3,.897,.931,1526,1086,810,72.9,56,300,300,39,.948,.910,16.9,49.1%,551,572,477,1581,1200,872,67,769,253,27,4,0,1.000,2,0,,UFA,"$1,000,000","$1,125,000",11,115.8,6.2,12,"Lower body, Neck",305,138,114,63,39,17,290,3421,11,8,7202,58,17,20.6
93,1988/04/27,Samara,,RUS,RUS,74,209,L,2006,1,23,2008,10,8473575,Varlamov,Semyon,COL,51,47,4,24,16,0,6,1595,1467,128,.920,2.68,10.0,8.2,10.8,6.2,171663,2,0,0,0,2,1,3,2,10.7%,3.02,8.71%,8.66,2764.1,1433,121,.922,2.63,28,28,59.6%,5,3,97.0,34,7,.829,4.33,,,,328,68,.793,575,38,692,22,.916,1299,100,.923,248,23,.907,48,5,.896,.920,2982,2215,1595,136.2,128,549,549,65,.942,.915,8.2,49.2%,907,936,907,2512,1859,1349,144,1251,443,65,6,1,.985,2,0,,UFA,"$5,750,000","$5,900,000",16,115.2,10.2,8,"Illness, Knee",483,399,382,193,150,41,1009,12065,23,20,22832,214,53,76
94,1981/05/21,Park Ridge,IL,USA,USA,74,185,L,2001,3,73,2002,15,8467950,Anderson,Craig,OTT,58,55,3,23,25,0,6,1768,1588,180,.898,3.32,-27.0,-19.6,-23.0,-32.0,195032,2,0,0,0,2,1,2,1,9.2%,2.75,8.85%,8.84,3160.6,1536,179,.896,3.40,25,26,47.3%,11,5,90.0,52,1,.981,0.67,,,,396,98,.753,640,55,723,25,.899,1473,145,.902,242,31,.872,53,4,.925,.898,3323,2447,1768,158.4,180,609,609,95,.926,.910,-21.6,49.8%,1070,1078,1126,3000,2244,1622,149,1413,561,77,23,8,.896,2,4,,UFA,"$3,100,000","$4,200,000",36,116.7,7.2,1,Illness,51,564,486,261,207,63,1474,17229,40,54,32072,270,72,107.9
95,1989/05/04,Airdrie,AB,CAN,CAN,72,200,L,,,,2016,2,8477180,Dell,Aaron,SJS,29,22,7,15,5,0,4,775,708,67,.914,2.64,0.1,4.5,-0.4,-13.2,91325,2,0,1,1,0,0,2,2,10.0%,3.15,8.56%,7.95,1320.9,635,60,.914,2.73,11,12,54.5%,4,0,201.2,73,7,.913,2.09,,,,192,41,.786,262,18,321,8,.917,640,54,.916,108,12,.889,27,1,.963,.913,1511,1077,774,71.5,67,306,306,45,.938,.908,4.5,49.6%,486,493,530,1567,1133,802,80,738,285,35,3,0,1.000,1,0,,UFA,"$675,000","$625,000",16,121.3,4.4,,,,49,39,26,11,5,104,1308,3,0,2633,23,5,8.7
